Code id,Name,Parent
OC4229,Client information workers not elsewhere classified,OC422
OC43,Numerical and material recording clerks,OC4
OC431,Numerical clerks,OC43
OC4311,Accounting and bookkeeping clerks,OC431
OC4312,"Statistical, finance and insurance clerks",OC431
OC4313,Payroll clerks,OC431
OC432,Material-recording and transport clerks,OC43
OC4321,Stock clerks,OC432
OC4322,Production clerks,OC432
OC4323,Transport clerks,OC432
OC44,Other clerical support workers,OC4
OC441,Other clerical support workers,OC44
OC4411,Library clerks,OC441
OC4412,Mail carriers and sorting clerks,OC441
OC4413,"Coding, proof-reading and related clerks",OC441
OC4414,Scribes and related workers,OC441
OC4415,Filing and copying clerks,OC441
OC4416,Personnel clerks,OC441
OC4419,Clerical support workers not elsewhere classified,OC441
OC5,Service and sales workers,
OC51,Personal service workers,OC5
OC511,"Travel attendants, conductors and guides",OC51
OC5111,Travel attendants and travel stewards,OC511
OC5112,Transport conductors,OC511
OC5113,Travel guides,OC511
OC512,Cooks,OC51
OC5120,Cooks,OC512
OC513,Waiters and bartenders,OC51
OC5131,Waiters,OC513
OC5132,Bartenders,OC513
OC514,"Hairdressers, beauticians and related workers",OC51
OC5141,Hairdressers,OC514
OC5142,Beauticians and related workers,OC514
OC515,Building and housekeeping supervisors,OC51
OC5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",OC515
OC5152,Domestic housekeepers,OC515
OC5153,Building caretakers,OC515
OC516,Other personal services workers,OC51
OC5161,"Astrologers, fortune-tellers and related workers",OC516
OC5162,Companions and valets,OC516
OC5163,Undertakers and embalmers,OC516
OC5164,Pet groomers and animal care workers,OC516
OC5165,Driving instructors,OC516
OC5169,Personal services workers not elsewhere classified,OC516
OC52,Sales workers,OC5
OC521,Street and market salespersons,OC52
OC5211,Stall and market salespersons,OC521
OC5212,Street food salespersons,OC521
OC522,Shop salespersons,OC52
OC5221,Shop keepers,OC522
OC5222,Shop supervisors,OC522
OC5223,Shop sales assistants,OC522
OC523,Cashiers and ticket clerks,OC52
OC5230,Cashiers and ticket clerks,OC523
OC524,Other sales workers,OC52
OC5241,Fashion and other models,OC524
OC5242,Sales demonstrators,OC524
OC5243,Door to door salespersons,OC524
OC5244,Contact centre salespersons,OC524
OC5245,Service station attendants,OC524
OC5246,Food service counter attendants,OC524
OC5249,Sales workers not elsewhere classified,OC524
OC53,Personal care workers,OC5
OC531,Child care workers and teachers' aides,OC53
OC5311,Child care workers,OC531
OC5312,Teachers' aides,OC531
OC532,Personal care workers in health services,OC53
OC5321,Health care assistants,OC532
OC5322,Home-based personal care workers,OC532
OC5329,Personal care workers in health services not elsewhere classified,OC532
OC54,Protective services workers,OC5
OC541,Protective services workers,OC54
OC5411,Fire-fighters,OC541
OC5412,Police officers,OC541
OC5413,Prison guards,OC541
OC5414,Security guards,OC541
OC5419,Protective services workers not elsewhere classified,OC541
OC6,"Skilled agricultural, forestry and fishery workers",
OC61,Market-oriented skilled agricultural workers,OC6
OC611,Market gardeners and crop growers,OC61
OC6111,Field crop and vegetable growers,OC611
OC6112,Tree and shrub crop growers,OC611
OC6113,"Gardeners, horticultural and nursery growers",OC611
OC6114,Mixed crop growers,OC611
OC612,Animal producers,OC61
OC6121,Livestock and dairy producers,OC612
OC6122,Poultry producers,OC612
OC6123,Apiarists and sericulturists,OC612
OC6129,Animal producers not elsewhere classified,OC612
OC613,Mixed crop and animal producers,OC61
